job_id,user,partition,state,submit,start,end,elapsed,queuetime,alloccpus,cputime,cpueff,reqmem,maxrss,memeff,exitcode
105338,gw2965,nodes,COMPLETED,2026-08-05T14:22:12Z,2026-08-05T14:22:15Z,2026-08-05T14:22:16Z,1s,3.0s,6,2.7643s,46.0723%,0.0MB,0.0MB,0.0%,0
105339,gw2965,nodes,COMPLETED,2026-08-05T14:22:13Z,2026-08-05T14:22:15Z,2026-08-05T14:22:16Z,1s,2.0s,6,2.8052s,46.7531%,0.0MB,0.0MB,0.0%,0
105340,gw2965,nodes,COMPLETED,2026-08-05T14:22:14Z,2026-08-05T14:22:15Z,2026-08-05T14:22:16Z,1s,1.0s,6,2.7144s,45.2405%,0.0MB,0.0MB,0.0%,0
105341,gw2965,nodes,COMPLETED,2026-08-05T14:22:15Z,2026-08-05T14:22:18Z,2026-08-05T14:22:21Z,3s,3.0s,6,9.2763s,51.5349%,0.0MB,0.0MB,0.0%,0
105342,gw2965,nodes,COMPLETED,2026-08-05T14:22:16Z,2026-08-05T14:22:18Z,2026-08-05T14:22:20Z,2s,2.0s,6,2.5258s,21.0484%,0.0MB,0.0MB,0.0%,0
105343,gw2965,nodes,COMPLETED,2026-08-05T14:22:17Z,2026-08-05T14:22:18Z,2026-08-05T14:22:20Z,2s,1.0s,6,2.5303s,21.0858%,0.0MB,0.0MB,0.0%,0
105344,gw2965,nodes,COMPLETED,2026-08-05T14:22:18Z,2026-08-05T14:22:19Z,2026-08-05T14:22:23Z,4s,1.0s,6,10.0412s,41.8384%,0.0MB,0.0MB,0.0%,0
105345,gw2965,nodes,COMPLETED,2026-08-05T14:22:19Z,2026-08-05T14:22:21Z,2026-08-05T14:22:23Z,2s,2.0s,6,3.1851s,26.5421%,0.0MB,0.0MB,0.0%,0
105346,gw2965,nodes,COMPLETED,2026-08-05T14:22:20Z,2026-08-05T14:22:21Z,2026-08-05T14:22:24Z,3s,1.0s,6,9.0609s,50.3381%,0.0MB,0.0MB,0.0%,0
105347,gw2965,nodes,COMPLETED,2026-08-05T14:22:21Z,2026-08-05T14:22:24Z,2026-08-05T14:22:28Z,4s,3.0s,6,9.8951s,41.2297%,0.0MB,0.0MB,0.0%,0
